Array,true:beta1,true:beta2,true:t_init,true:E_init,true:t_inflect,start:beta1,start:beta2,start:t_init,start:E_init,start:E_inflect,start:t_inflect
539,0.36,0.27992441337555646,2020-02-21,1,2020-03-23,1.94,0.24362063710577786,2020-03-11,1,2020-03-23,2020-03-23
540,0.37,0.13185322247445583,2020-02-21,1,2020-03-23,2.29,0.5275131107773632,2020-03-06,1,2020-03-23,2020-03-23
541,0.38,0.11434273011982442,2020-02-21,1,2020-03-23,1.26,0.10428167809732258,2020-02-17,1,2020-03-23,2020-03-23
542,0.39,0.2842987559735775,2020-02-21,1,2020-03-23,0.71,0.9575062734074891,2020-02-18,1,2020-03-23,2020-03-23
543,0.4,0.7883548693731428,2020-02-21,1,2020-03-23,1.56,0.32925565307959914,2020-02-29,1,2020-03-23,2020-03-23
544,0.41000000000000003,0.4617849247530103,2020-02-21,1,2020-03-23,2.05,0.8129030999261886,2020-02-29,1,2020-03-23,2020-03-23
545,0.42,0.39988057035952806,2020-02-21,1,2020-03-23,1.17,0.572103617945686,2020-02-17,1,2020-03-23,2020-03-23
546,0.43,0.047610760666429996,2020-02-21,1,2020-03-23,2.34,0.7999029422644526,2020-02-17,1,2020-03-23,2020-03-23
547,0.44,0.34239911250770094,2020-02-21,1,2020-03-23,1.41,0.27908886736258864,2020-03-07,1,2020-03-23,2020-03-23
548,0.45,0.26238965373486284,2020-02-21,1,2020-03-23,0.38,0.30038148257881403,2020-02-22,1,2020-03-23,2020-03-23
549,0.46,0.6901384873315692,2020-02-21,1,2020-03-23,0.81,0.1228453170042485,2020-02-19,1,2020-03-23,2020-03-23
550,0.47000000000000003,0.7750187832862139,2020-02-21,1,2020-03-23,1.92,0.1304134582169354,2020-02-21,1,2020-03-23,2020-03-23
551,0.48,0.16655944623053076,2020-02-21,1,2020-03-23,1.96,0.9889621632173657,2020-03-08,1,2020-03-23,2020-03-23
552,0.49,0.059866314940154555,2020-02-21,1,2020-03-23,0.11,0.03879554942250252,2020-02-27,1,2020-03-23,2020-03-23
553,0.5,0.3057362863793969,2020-02-21,1,2020-03-23,1.44,0.8868116079829633,2020-02-15,1,2020-03-23,2020-03-23
554,0.51,0.5364370413124562,2020-02-21,1,2020-03-23,0.32,0.5223457447718829,2020-02-29,1,2020-03-23,2020-03-23
555,0.52,0.45394745618104937,2020-02-21,1,2020-03-23,1.9000000000000001,0.475869094254449,2020-03-05,1,2020-03-23,2020-03-23
556,0.53,0.48629468325525527,2020-02-21,1,2020-03-23,0.31,0.7526801864150912,2020-03-06,1,2020-03-23,2020-03-23
557,0.54,0.12275253869593145,2020-02-21,1,2020-03-23,1.84,0.3864866178482771,2020-02-19,1,2020-03-23,2020-03-23
558,0.55,0.12981693670153618,2020-02-21,1,2020-03-23,0.05,0.8538119522854686,2020-02-29,1,2020-03-23,2020-03-23
559,0.56,0.3341873947530985,2020-02-21,1,2020-03-23,1.3800000000000001,0.7491680269595236,2020-03-06,1,2020-03-23,2020-03-23
560,0.5700000000000001,0.5668091308325529,2020-02-21,1,2020-03-23,2.11,0.07248961855657399,2020-02-28,1,2020-03-23,2020-03-23
561,0.58,0.24817952271550894,2020-02-21,1,2020-03-23,2.3000000000000003,0.10374143347144127,2020-03-03,1,2020-03-23,2020-03-23
562,0.59,0.6521246699616313,2020-02-21,1,2020-03-23,0.75,0.728535370901227,2020-03-05,1,2020-03-23,2020-03-23
563,0.6,0.6012351218611003,2020-02-21,1,2020-03-23,1.8800000000000001,0.9818579063285142,2020-02-21,1,2020-03-23,2020-03-23
564,0.61,0.02128573562949896,2020-02-21,1,2020-03-23,1.28,0.8440264335367829,2020-02-22,1,2020-03-23,2020-03-23
565,0.62,0.26008693017065526,2020-02-21,1,2020-03-23,1.46,0.773087284527719,2020-02-16,1,2020-03-23,2020-03-23
566,0.63,0.27541865278035405,2020-02-21,1,2020-03-23,2.33,0.31655329186469316,2020-02-24,1,2020-03-23,2020-03-23
567,0.64,0.04105711337178946,2020-02-21,1,2020-03-23,1.57,0.8676403530407697,2020-03-08,1,2020-03-23,2020-03-23
568,0.65,0.5675947692245246,2020-02-21,1,2020-03-23,0.11,0.7851658139843494,2020-03-10,1,2020-03-23,2020-03-23
569,0.66,0.49590038023889066,2020-02-21,1,2020-03-23,0.55,0.841979960212484,2020-02-27,1,2020-03-23,2020-03-23
570,0.67,0.6221619427204133,2020-02-21,1,2020-03-23,2.21,0.5839300416409969,2020-02-29,1,2020-03-23,2020-03-23
571,0.68,0.6490942191332579,2020-02-21,1,2020-03-23,0.78,0.894573584664613,2020-03-02,1,2020-03-23,2020-03-23
572,0.6900000000000001,0.017615061812102796,2020-02-21,1,2020-03-23,1.85,0.541338250041008,2020-03-13,1,2020-03-23,2020-03-23
573,0.7000000000000001,0.4358174780383706,2020-02-21,1,2020-03-23,2.18,0.20811605267226696,2020-03-10,1,2020-03-23,2020-03-23
574,0.71,0.29729884546250107,2020-02-21,1,2020-03-23,2.44,0.6883964128792286,2020-03-11,1,2020-03-23,2020-03-23
575,0.72,0.011804015561938287,2020-02-21,1,2020-03-23,2.31,0.9762968639843166,2020-03-10,1,2020-03-23,2020-03-23
576,0.73,0.7935136659070849,2020-02-21,1,2020-03-23,2.09,0.43900510808452964,2020-02-25,1,2020-03-23,2020-03-23
577,0.74,0.16911460291594269,2020-02-21,1,2020-03-23,1.3800000000000001,0.3765821985434741,2020-02-26,1,2020-03-23,2020-03-23
578,0.75,0.22634159959852695,2020-02-21,1,2020-03-23,1.92,0.264706993708387,2020-02-18,1,2020-03-23,2020-03-23
579,0.76,0.0794346321374178,2020-02-21,1,2020-03-23,0.5,0.6624513210263103,2020-02-18,1,2020-03-23,2020-03-23
580,0.77,0.4297401297837496,2020-02-21,1,2020-03-23,0.03,0.8658784930594265,2020-03-09,1,2020-03-23,2020-03-23
581,0.78,0.3888376567512751,2020-02-21,1,2020-03-23,0.88,0.62965964875184,2020-03-13,1,2020-03-23,2020-03-23
582,0.79,0.40469463262706995,2020-02-21,1,2020-03-23,1.05,0.18098129867576063,2020-03-04,1,2020-03-23,2020-03-23
583,0.8,0.34695191066712144,2020-02-21,1,2020-03-23,0.43,0.9959524697624147,2020-03-12,1,2020-03-23,2020-03-23
584,0.81,0.7039612643420696,2020-02-21,1,2020-03-23,1.16,0.2864012138452381,2020-03-06,1,2020-03-23,2020-03-23
585,0.8200000000000001,0.7848606867715717,2020-02-21,1,2020-03-23,2.19,0.9018362297210842,2020-02-18,1,2020-03-23,2020-03-23
586,0.8300000000000001,0.47603454850614074,2020-02-21,1,2020-03-23,2.43,0.7901388104073703,2020-02-24,1,2020-03-23,2020-03-23
587,0.84,0.15360675510019065,2020-02-21,1,2020-03-23,1.36,0.27185919135808945,2020-03-01,1,2020-03-23,2020-03-23
588,0.85,0.3355253431946039,2020-02-21,1,2020-03-23,0.21,0.39620934380218387,2020-02-27,1,2020-03-23,2020-03-23
589,0.86,0.4710902879014611,2020-02-21,1,2020-03-23,1.18,0.07320382446050644,2020-02-19,1,2020-03-23,2020-03-23
590,0.87,0.7868589144200087,2020-02-21,1,2020-03-23,0.55,0.6715825030114502,2020-02-19,1,2020-03-23,2020-03-23
591,0.88,0.2794940687716007,2020-02-21,1,2020-03-23,1.46,0.5763741242699325,2020-02-19,1,2020-03-23,2020-03-23
592,0.89,0.24412227608263493,2020-02-21,1,2020-03-23,2.13,0.001861541997641325,2020-03-06,1,2020-03-23,2020-03-23
593,0.9,0.21869750469923022,2020-02-21,1,2020-03-23,0.21,0.7482384387403727,2020-03-01,1,2020-03-23,2020-03-23
594,0.91,0.6380897022783757,2020-02-21,1,2020-03-23,0.62,0.3269265564158559,2020-03-08,1,2020-03-23,2020-03-23
595,0.92,0.3942428395152092,2020-02-21,1,2020-03-23,1.21,0.4888562369160354,2020-03-10,1,2020-03-23,2020-03-23
596,0.93,0.6640560764819384,2020-02-21,1,2020-03-23,0.34,0.1888139045331627,2020-03-02,1,2020-03-23,2020-03-23
597,0.9400000000000001,0.0976215509697795,2020-02-21,1,2020-03-23,1.27,0.2565222086850554,2020-02-24,1,2020-03-23,2020-03-23
598,0.9500000000000001,0.47355317790061235,2020-02-21,1,2020-03-23,0.81,0.5885550007224083,2020-03-04,1,2020-03-23,2020-03-23
599,0.96,0.022418736666440967,2020-02-21,1,2020-03-23,0.6,0.23646594188176095,2020-03-05,1,2020-03-23,2020-03-23
600,0.97,0.3883907783776522,2020-02-21,1,2020-03-23,0.62,0.5871105201076716,2020-03-10,1,2020-03-23,2020-03-23
601,0.98,0.458133864030242,2020-02-21,1,2020-03-23,0.45,0.994860298698768,2020-03-09,1,2020-03-23,2020-03-23
602,0.99,0.04475791417062283,2020-02-21,1,2020-03-23,2.1,0.13401335175149143,2020-02-25,1,2020-03-23,2020-03-23
603,1,0.2726485712453723,2020-02-21,1,2020-03-23,0.2,0.7015312395524234,2020-02-20,1,2020-03-23,2020-03-23
604,1.01,0.7976888235658408,2020-02-21,1,2020-03-23,0.04,0.4674958917312324,2020-03-05,1,2020-03-23,2020-03-23
605,1.02,0.7690556580200791,2020-02-21,1,2020-03-23,1.25,0.2147371843457222,2020-02-23,1,2020-03-23,2020-03-23
606,1.03,0.05177423357963562,2020-02-21,1,2020-03-23,2.32,0.28441952960565686,2020-03-13,1,2020-03-23,2020-03-23
607,1.04,0.5497863383963705,2020-02-21,1,2020-03-23,1.6,0.9288554769009352,2020-02-22,1,2020-03-23,2020-03-23
608,1.05,0.30251133218407633,2020-02-21,1,2020-03-23,0.74,0.9322352334856987,2020-03-10,1,2020-03-23,2020-03-23
609,1.06,0.6791323771700264,2020-02-21,1,2020-03-23,1.86,0.08348317886702716,2020-02-19,1,2020-03-23,2020-03-23
610,1.07,0.6314743503928185,2020-02-21,1,2020-03-23,1.71,0.38678439846262336,2020-03-13,1,2020-03-23,2020-03-23
611,1.08,0.2500308504328132,2020-02-21,1,2020-03-23,2.1,0.20708568743430078,2020-02-24,1,2020-03-23,2020-03-23
612,1.09,0.7542212553322316,2020-02-21,1,2020-03-23,1.9000000000000001,0.6219683070667088,2020-02-26,1,2020-03-23,2020-03-23
613,1.1,0.6166840476915241,2020-02-21,1,2020-03-23,0.76,0.4648556283209473,2020-02-22,1,2020-03-23,2020-03-23
614,1.11,0.11943080797791482,2020-02-21,1,2020-03-23,1.11,0.4059564024209976,2020-03-06,1,2020-03-23,2020-03-23
615,1.12,0.2978176683187485,2020-02-21,1,2020-03-23,1.98,0.6455611363053322,2020-02-18,1,2020-03-23,2020-03-23
616,1.1300000000000001,0.07671051360666753,2020-02-21,1,2020-03-23,1.29,0.5751087970566005,2020-03-03,1,2020-03-23,2020-03-23
617,1.1400000000000001,0.0350832149386406,2020-02-21,1,2020-03-23,1.8900000000000001,0.5858913862612098,2020-02-23,1,2020-03-23,2020-03-23
618,1.1500000000000001,0.2579191606491804,2020-02-21,1,2020-03-23,0.99,0.9741067695431411,2020-03-01,1,2020-03-23,2020-03-23
619,1.16,0.13253926113247871,2020-02-21,1,2020-03-23,1.06,0.7626060552429408,2020-03-08,1,2020-03-23,2020-03-23
620,1.17,0.20440914407372476,2020-02-21,1,2020-03-23,1.61,0.017875168938189745,2020-02-15,1,2020-03-23,2020-03-23
621,1.18,0.1564292384311557,2020-02-21,1,2020-03-23,1.48,0.824500911636278,2020-02-20,1,2020-03-23,2020-03-23
622,1.19,0.5206209344789386,2020-02-21,1,2020-03-23,0.31,0.7703733125235885,2020-02-26,1,2020-03-23,2020-03-23
623,1.2,0.7664597792550922,2020-02-21,1,2020-03-23,0.04,0.8289491247851402,2020-02-20,1,2020-03-23,2020-03-23
624,1.21,0.4240500256419182,2020-02-21,1,2020-03-23,0.4,0.20693104970268905,2020-02-15,1,2020-03-23,2020-03-23
625,1.22,0.6200990358367563,2020-02-21,1,2020-03-23,1.23,0.5383573831059039,2020-02-27,1,2020-03-23,2020-03-23
626,1.23,0.05462158210575581,2020-02-21,1,2020-03-23,1.84,0.4772063987329602,2020-02-20,1,2020-03-23,2020-03-23
627,1.24,0.06283215992152691,2020-02-21,1,2020-03-23,2.14,0.08445095317438245,2020-02-28,1,2020-03-23,2020-03-23
628,1.25,0.6498143890872599,2020-02-21,1,2020-03-23,1.83,0.43791232351213694,2020-02-16,1,2020-03-23,2020-03-23
629,1.26,0.2985562553629279,2020-02-21,1,2020-03-23,0.2,0.677085698582232,2020-02-22,1,2020-03-23,2020-03-23
630,1.27,0.5564839841797948,2020-02-21,1,2020-03-23,0.21,0.6666688078548759,2020-03-06,1,2020-03-23,2020-03-23
631,1.28,0.4244012346491218,2020-02-21,1,2020-03-23,0.33,0.733402016106993,2020-03-08,1,2020-03-23,2020-03-23
632,1.29,0.7861229445785285,2020-02-21,1,2020-03-23,0.14,0.11098884255625308,2020-03-05,1,2020-03-23,2020-03-23
633,1.3,0.5897878233343363,2020-02-21,1,2020-03-23,0.23,0.682286071125418,2020-02-24,1,2020-03-23,2020-03-23
634,1.31,0.0960413983091712,2020-02-21,1,2020-03-23,2.36,0.4219201619271189,2020-03-04,1,2020-03-23,2020-03-23
635,1.32,0.7183304883539677,2020-02-21,1,2020-03-23,1.17,0.8459632329177111,2020-02-23,1,2020-03-23,2020-03-23
636,1.33,0.7304057335481048,2020-02-21,1,2020-03-23,0.42,0.5470740816090256,2020-02-26,1,2020-03-23,2020-03-23
637,1.34,0.47342703472822906,2020-02-21,1,2020-03-23,2.44,0.15434655360877514,2020-02-29,1,2020-03-23,2020-03-23
638,1.35,0.42564284093678,2020-02-21,1,2020-03-23,0.24,0.1362197338603437,2020-03-06,1,2020-03-23,2020-03-23
639,1.36,0.6574517330154777,2020-02-21,1,2020-03-23,0.89,0.4057163542602211,2020-03-02,1,2020-03-23,2020-03-23
640,1.37,0.19302359018474818,2020-02-21,1,2020-03-23,2.45,0.6236342003103346,2020-03-07,1,2020-03-23,2020-03-23
641,1.3800000000000001,0.5262488463893533,2020-02-21,1,2020-03-23,2.08,0.21144649828784168,2020-03-03,1,2020-03-23,2020-03-23
642,1.3900000000000001,0.5607415966689587,2020-02-21,1,2020-03-23,1.61,0.4772767450194806,2020-03-11,1,2020-03-23,2020-03-23
643,1.4000000000000001,0.46850207820534706,2020-02-21,1,2020-03-23,1.82,0.011461037443950772,2020-02-24,1,2020-03-23,2020-03-23
644,1.41,0.519622015953064,2020-02-21,1,2020-03-23,0.71,0.5738677291665226,2020-03-09,1,2020-03-23,2020-03-23
645,1.42,0.6355821134522558,2020-02-21,1,2020-03-23,0.91,0.8071918934583664,2020-02-16,1,2020-03-23,2020-03-23
646,1.43,0.44969353787600996,2020-02-21,1,2020-03-23,1.4000000000000001,0.5553263670299202,2020-03-12,1,2020-03-23,2020-03-23
647,1.44,0.21282182577997447,2020-02-21,1,2020-03-23,1.55,0.5992350729648024,2020-02-29,1,2020-03-23,2020-03-23
648,1.45,0.11867341529577971,2020-02-21,1,2020-03-23,1.34,0.7441507037729025,2020-03-06,1,2020-03-23,2020-03-23
649,1.46,0.09143691677600146,2020-02-21,1,2020-03-23,0.98,0.8029122555162758,2020-03-13,1,2020-03-23,2020-03-23
650,1.47,0.09622863307595253,2020-02-21,1,2020-03-23,1.26,0.8714119424112141,2020-02-17,1,2020-03-23,2020-03-23
651,1.48,0.21057719253003598,2020-02-21,1,2020-03-23,0.17,0.6983336813282222,2020-03-08,1,2020-03-23,2020-03-23
652,1.49,0.18238367382436993,2020-02-21,1,2020-03-23,1.19,0.20830089994706213,2020-02-24,1,2020-03-23,2020-03-23
653,1.5,0.08185096569359303,2020-02-21,1,2020-03-23,0.78,0.1204458533320576,2020-02-19,1,2020-03-23,2020-03-23
654,1.51,0.00420943908393383,2020-02-21,1,2020-03-23,0.97,0.3525439880322665,2020-02-21,1,2020-03-23,2020-03-23
655,1.52,0.5854136133566499,2020-02-21,1,2020-03-23,1.1400000000000001,0.898236480075866,2020-03-04,1,2020-03-23,2020-03-23
656,1.53,0.2031831732019782,2020-02-21,1,2020-03-23,1.93,0.2708525301422924,2020-02-24,1,2020-03-23,2020-03-23
657,1.54,0.04320302791893482,2020-02-21,1,2020-03-23,0.87,0.3569271850865334,2020-02-19,1,2020-03-23,2020-03-23
658,1.55,0.01856674961745739,2020-02-21,1,2020-03-23,0.81,0.5356727880425751,2020-03-08,1,2020-03-23,2020-03-23
659,1.56,0.11022387649863959,2020-02-21,1,2020-03-23,1.31,0.950145365903154,2020-03-03,1,2020-03-23,2020-03-23
660,1.57,0.073024638928473,2020-02-21,1,2020-03-23,0.91,0.2468647004570812,2020-02-24,1,2020-03-23,2020-03-23
661,1.58,0.5948825549334288,2020-02-21,1,2020-03-23,1.02,0.41399616934359074,2020-03-05,1,2020-03-23,2020-03-23
662,1.59,0.7207169422879816,2020-02-21,1,2020-03-23,1.19,0.3659505203831941,2020-02-26,1,2020-03-23,2020-03-23
663,1.6,0.21340650822967291,2020-02-21,1,2020-03-23,0,0.16775659192353487,2020-02-27,1,2020-03-23,2020-03-23
664,1.61,0.38015409260988237,2020-02-21,1,2020-03-23,1.03,0.053693098248913884,2020-02-19,1,2020-03-23,2020-03-23
665,1.62,0.7014730857685209,2020-02-21,1,2020-03-23,1,0.4375548798125237,2020-02-15,1,2020-03-23,2020-03-23
666,1.6300000000000001,0.36212867796421055,2020-02-21,1,2020-03-23,0.66,0.3621063206810504,2020-03-13,1,2020-03-23,2020-03-23
667,1.6400000000000001,0.3043414426967502,2020-02-21,1,2020-03-23,0.24,0.46315737906843424,2020-02-15,1,2020-03-23,2020-03-23
668,1.6500000000000001,0.44809910580515866,2020-02-21,1,2020-03-23,0.16,0.1790701551362872,2020-02-26,1,2020-03-23,2020-03-23
669,1.6600000000000001,0.11294023115187884,2020-02-21,1,2020-03-23,2.43,0.12928511761128902,2020-02-22,1,2020-03-23,2020-03-23
670,1.67,0.5360539957880974,2020-02-21,1,2020-03-23,2.07,0.3302247116807848,2020-02-23,1,2020-03-23,2020-03-23
671,1.68,0.13893086425960063,2020-02-21,1,2020-03-23,1.73,0.7501906552352011,2020-03-05,1,2020-03-23,2020-03-23
672,1.69,0.08887421786785127,2020-02-21,1,2020-03-23,2.09,0.051231023389846087,2020-03-02,1,2020-03-23,2020-03-23
673,1.7,0.042747852578759196,2020-02-21,1,2020-03-23,0.73,0.5880974954925478,2020-02-18,1,2020-03-23,2020-03-23
674,1.71,0.7165563231334091,2020-02-21,1,2020-03-23,0.6900000000000001,0.8468881780281663,2020-02-23,1,2020-03-23,2020-03-23
675,1.72,0.14993834923952817,2020-02-21,1,2020-03-23,1.54,0.3985664024949074,2020-03-03,1,2020-03-23,2020-03-23
676,1.73,0.783164469152689,2020-02-21,1,2020-03-23,0.55,0.05731787555851042,2020-02-24,1,2020-03-23,2020-03-23
677,1.74,0.21841352321207524,2020-02-21,1,2020-03-23,0.8,0.9761033491231501,2020-02-25,1,2020-03-23,2020-03-23
678,1.75,0.08437313623726368,2020-02-21,1,2020-03-23,1.23,0.33013681322336197,2020-03-08,1,2020-03-23,2020-03-23
679,1.76,0.07960806395858527,2020-02-21,1,2020-03-23,0.89,0.9260118706151843,2020-02-17,1,2020-03-23,2020-03-23
680,1.77,0.7897142436355353,2020-02-21,1,2020-03-23,2.41,0.42894628434441984,2020-03-12,1,2020-03-23,2020-03-23
681,1.78,0.3374612694606185,2020-02-21,1,2020-03-23,0.32,0.45771464006975293,2020-02-27,1,2020-03-23,2020-03-23
682,1.79,0.6450558042153717,2020-02-21,1,2020-03-23,1.9000000000000001,0.20140293193981051,2020-03-09,1,2020-03-23,2020-03-23
683,1.8,0.20398453902453184,2020-02-21,1,2020-03-23,1.78,0.9873716703150421,2020-03-02,1,2020-03-23,2020-03-23
684,1.81,0.5050066035240889,2020-02-21,1,2020-03-23,0.21,0.037565976148471236,2020-02-25,1,2020-03-23,2020-03-23
685,1.82,0.772262378036976,2020-02-21,1,2020-03-23,2.24,0.15824209921993315,2020-03-07,1,2020-03-23,2020-03-23
686,1.83,0.35165675021708015,2020-02-21,1,2020-03-23,1.28,0.8901359867304564,2020-02-15,1,2020-03-23,2020-03-23
687,1.84,0.36714061424136163,2020-02-21,1,2020-03-23,1.6300000000000001,0.1496692318469286,2020-02-29,1,2020-03-23,2020-03-23
688,1.85,0.24997625444084406,2020-02-21,1,2020-03-23,1.93,0.46975347003899515,2020-03-07,1,2020-03-23,2020-03-23
689,1.86,0.5353478848934173,2020-02-21,1,2020-03-23,0.22,0.19579183962196112,2020-02-15,1,2020-03-23,2020-03-23
690,1.87,0.02364794556051493,2020-02-21,1,2020-03-23,1.26,0.19220330892130733,2020-03-06,1,2020-03-23,2020-03-23
691,1.8800000000000001,0.75929833073169,2020-02-21,1,2020-03-23,1.46,0.7595659245271236,2020-03-06,1,2020-03-23,2020-03-23
692,1.8900000000000001,0.18404455799609423,2020-02-21,1,2020-03-23,2.43,0.20868389587849379,2020-03-12,1,2020-03-23,2020-03-23
693,1.9000000000000001,0.6404443673789502,2020-02-21,1,2020-03-23,2.45,0.8721425947733223,2020-03-05,1,2020-03-23,2020-03-23
694,1.9100000000000001,0.5299405110999942,2020-02-21,1,2020-03-23,0.5,0.4445088857319206,2020-03-02,1,2020-03-23,2020-03-23
695,1.92,0.37355555240064864,2020-02-21,1,2020-03-23,0.97,0.6763625950552523,2020-03-08,1,2020-03-23,2020-03-23
696,1.93,0.18667822908610107,2020-02-21,1,2020-03-23,0.77,0.3994948766194284,2020-03-02,1,2020-03-23,2020-03-23
697,1.94,0.5740662176162005,2020-02-21,1,2020-03-23,1.43,0.68207525834441185,2020-03-06,1,2020-03-23,2020-03-23
698,1.95,0.22074076160788536,2020-02-21,1,2020-03-23,2.5,0.9408090591896325,2020-02-19,1,2020-03-23,2020-03-23
699,1.96,0.5284627104178071,2020-02-21,1,2020-03-23,0.65,0.16539340373128653,2020-02-28,1,2020-03-23,2020-03-23
700,1.97,0.28898168392479423,2020-02-21,1,2020-03-23,0.84,0.5632485079113394,2020-02-17,1,2020-03-23,2020-03-23
701,1.98,0.5278060611337424,2020-02-21,1,2020-03-23,0.42,0.4977151320781559,2020-02-22,1,2020-03-23,2020-03-23
702,1.99,0.09472645986825229,2020-02-21,1,2020-03-23,1.25,0.207444635219872,2020-03-06,1,2020-03-23,2020-03-23
703,2,0.20000699777156117,2020-02-21,1,2020-03-23,1.98,0.43619832349941134,2020-03-05,1,2020-03-23,2020-03-23
704,2.0100000000000002,0.7316562978550792,2020-02-21,1,2020-03-23,1.48,0.12519843433983624,2020-03-12,1,2020-03-23,2020-03-23
705,2.02,0.5152803985401988,2020-02-21,1,2020-03-23,2.4,0.4730398340616375,2020-02-20,1,2020-03-23,2020-03-23
706,2.0300000000000002,0.39518913310021164,2020-02-21,1,2020-03-23,1.33,0.9147557595279068,2020-03-12,1,2020-03-23,2020-03-23
707,2.04,0.7776736259460449,2020-02-21,1,2020-03-23,1.8800000000000001,0.4668509971816093,2020-02-22,1,2020-03-23,2020-03-23
708,2.05,0.5263995800167323,2020-02-21,1,2020-03-23,2.15,0.8981700569856912,2020-03-02,1,2020-03-23,2020-03-23
709,2.06,0.20218863990157843,2020-02-21,1,2020-03-23,0.13,0.05402955994941294,2020-02-19,1,2020-03-23,2020-03-23
710,2.07,0.12280350048094989,2020-02-21,1,2020-03-23,0.04,0.42533427313901484,2020-02-29,1,2020-03-23,2020-03-23
711,2.08,0.570926158875227,2020-02-21,1,2020-03-23,1.55,0.056454406352713704,2020-02-22,1,2020-03-23,2020-03-23
712,2.09,0.15761164277791978,2020-02-21,1,2020-03-23,1.1400000000000001,0.8817967923823744,2020-02-28,1,2020-03-23,2020-03-23
713,2.1,0.3613467179238796,2020-02-21,1,2020-03-23,0.91,0.00306330225430429,2020-02-16,1,2020-03-23,2020-03-23
714,2.11,0.16290798038244247,2020-02-21,1,2020-03-23,1.74,0.43253488233312964,2020-02-25,1,2020-03-23,2020-03-23
715,2.12,0.07443777229636908,2020-02-21,1,2020-03-23,1.9000000000000001,0.6138494543265551,2020-03-12,1,2020-03-23,2020-03-23
716,2.13,0.17546864151954653,2020-02-21,1,2020-03-23,1.3900000000000001,0.755551467416808,2020-03-02,1,2020-03-23,2020-03-23
717,2.14,0.09497893378138543,2020-02-21,1,2020-03-23,0.09,0.8803424506913871,2020-02-16,1,2020-03-23,2020-03-23
718,2.15,0.181906140036881,2020-02-21,1,2020-03-23,2.48,0.32711312966421247,2020-03-08,1,2020-03-23,2020-03-23
719,2.16,0.5422499097883702,2020-02-21,1,2020-03-23,2.17,0.01060566515661776,2020-02-20,1,2020-03-23,2020-03-23
720,2.17,0.36747916489839555,2020-02-21,1,2020-03-23,2.31,0.2814772629644722,2020-03-05,1,2020-03-23,2020-03-23
721,2.18,0.5036194438114763,2020-02-21,1,2020-03-23,1.3900000000000001,0.0698263356462121,2020-03-05,1,2020-03-23,2020-03-23
722,2.19,0.7206429053097964,2020-02-21,1,2020-03-23,0.43,0.5215981220826507,2020-02-28,1,2020-03-23,2020-03-23
723,2.2,0.6491643708199263,2020-02-21,1,2020-03-23,1.9000000000000001,0.22409813711419702,2020-02-20,1,2020-03-23,2020-03-23
724,2.21,0.38125940393656493,2020-02-21,1,2020-03-23,0.64,0.1287883159238845,2020-02-27,1,2020-03-23,2020-03-23
725,2.22,0.2610375501215458,2020-02-21,1,2020-03-23,1.94,0.40589153743349016,2020-03-06,1,2020-03-23,2020-03-23
726,2.23,0.3208688309416175,2020-02-21,1,2020-03-23,0.01,0.8400810584425926,2020-03-03,1,2020-03-23,2020-03-23
727,2.24,0.04990488328039647,2020-02-21,1,2020-03-23,0,0.5627192370593548,2020-03-13,1,2020-03-23,2020-03-23
728,2.25,0.30718551799654964,2020-02-21,1,2020-03-23,2.23,0.6600438049063087,2020-03-09,1,2020-03-23,2020-03-23
729,2.2600000000000002,0.3000816458836198,2020-02-21,1,2020-03-23,1.97,0.5476563565898687,2020-02-24,1,2020-03-23,2020-03-23
730,2.27,0.12312143947929144,2020-02-21,1,2020-03-23,0.29,0.44548695208504796,2020-03-03,1,2020-03-23,2020-03-23
731,2.2800000000000002,0.3910988796502352,2020-02-21,1,2020-03-23,1.72,0.777630582684651,2020-02-18,1,2020-03-23,2020-03-23
732,2.29,0.23955718297511341,2020-02-21,1,2020-03-23,1.44,0.8652898592408746,2020-03-09,1,2020-03-23,2020-03-23
733,2.3000000000000003,0.3696348585188389,2020-02-21,1,2020-03-23,1.94,0.18716648849658668,2020-03-04,1,2020-03-23,2020-03-23
734,2.31,0.1202135629951954,2020-02-21,1,2020-03-23,1.96,0.34620176209136844,2020-02-26,1,2020-03-23,2020-03-23
735,2.32,0.09141180496662855,2020-02-21,1,2020-03-23,0.38,0.9697854781989008,2020-03-08,1,2020-03-23,2020-03-23
736,2.33,0.39921483024954796,2020-02-21,1,2020-03-23,2.07,0.08806825615465641,2020-03-12,1,2020-03-23,2020-03-23
737,2.34,0.3207692923024297,2020-02-21,1,2020-03-23,0.28,0.10929597564972937,2020-02-20,1,2020-03-23,2020-03-23
738,2.35,0.1985544076189399,2020-02-21,1,2020-03-23,1.57,0.2499409164302051,2020-02-15,1,2020-03-23,2020-03-23
739,2.36,0.11660137549042703,2020-02-21,1,2020-03-23,1.9100000000000001,0.21522841998375952,2020-03-11,1,2020-03-23,2020-03-23
740,2.37,0.4490166354924441,2020-02-21,1,2020-03-23,1.47,0.6877500193659216,2020-02-18,1,2020-03-23,2020-03-23
741,2.38,0.7353782203048468,2020-02-21,1,2020-03-23,1.06,0.8677674240898341,2020-02-28,1,2020-03-23,2020-03-23
742,2.39,0.0951345467939973,2020-02-21,1,2020-03-23,2.18,0.8185150464996696,2020-03-13,1,2020-03-23,2020-03-23
